Fmin	Fmax	Funi_counts	Fhom_counts	Froh_counts
-0.101	0.001	335925	298248	18259
0.001	0.002	37102	26467	69825
0.002	0.003	27441	23771	98239
0.003	0.004	18541	21068	104807
0.004	0.005	12154	17734	77394
0.005	0.006	7745	14692	45361
0.006	0.007	5009	11957	22487
0.007	0.008	3190	9451	9872
0.008	0.009	2152	7609	4019
0.009	0.01	1486	5954	1673
0.01	0.02	3833	16997	2645
0.02	0.03	633	1224	553
0.03	0.04	304	302	330
0.04	0.05	224	233	242
0.05	0.06	180	196	186
0.06	0.07	145	144	161
0.07	0.08	113	97	108
0.08	0.09	69	86	91
0.09	0.1	46	50	37
0.1	0.2	77	87	83
0.2	0.3532	45	47	42
